,id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,goodreads_book_id,tag_name,description
0,1,2767052,2767052,2792775,272,439023483,9780439023480.0,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,2767052,[],"WINNING MEANS FAME AND FORTUNE.LOSING MEANS CERTAIN DEATH.THE HUNGER GAMES HAVE BEGUN. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love."
1,2,3,3,4640799,491,439554934,9780439554930.0,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,3,"['books', 'bbc', 'books', 'every', 'man', 'should', 'read', 'books', 'own', 'for', 'books', 'that', 'define', 'the', 'books', 'to', 'read', 'books', 'to', 'read', 'before', 'you', 'die', 'books', 'to', 'read', 'in', 'lifetime', 'books', 'to', 'read', 'my', 'version', 'bullets', 'children', 'books', 'essential', 'novels', 'essential', 'novels', 'poster', 'fiction', 'greatest', 'greatest', 'books', 'ever', 'written', 'greatest', 'novels', 'in', 'list', 'modern', 'library', 'must', 'read', 'books', 'must', 'read', 'books', 'the', 'essential', 'novels', 'everyone', 'should', 'read', 'recommended', 'year', 'war', 'years', 'war', 'book', 'before', 'kindergarten', 'book', 'goal', 'books', 'books', 'before', 'kindergarten', 'books', 'to', 'read', 'before', 'you', 'die', 'by', 'good', 'books', 'harry', 'novels', 'plus', 'pages', 'before', 'you', 'die', 'book', 'book', 'list', 'books', 'books', 'books', 'before', 'die', 'books', 'before', 'you', 'die', 'books', 'challenge', 'books', 'have', 'read', 'books', 'list', 'books', 'read', 'books', 'to', 'read', 'books', 'to', 'read', 'before', 'adult', 'books', 'to', 'read', 'before', 'die', 'books', 'to', 'read', 'before', 'you', 'die', 'books', 'you', 'must', 'read', 'books', 'you', 'must', 'read', 'you', 'die', 'books', 'you', 'must', 'read', 'before', 'you', 'bymrbyd', 'challenge', 'children', 'books', 'children', 'books', 'you', 'must', 'read', 'childrens', 'books', 'comics', 'import', 'kids', 'plus', 'kids', 'plus', 'kids', 'books', 'libri', 'libri', 'da', 'leggere', 'list', 'must', 'read', 'must', 'read', 'books', 'must', 'reads', 'read', 'to', 'read', 'to', 'read', 'before', 'you', 'die', 'unread', 'books', 'bibles', 'tools', 'books', 'that', 'you', 'must', 'read', 'before', 'books', 'to', 'read', 'before', 'you', 'die', 'lire', 'dans', 'sa', 'vie', 'st', 'airborne', 'miscellaneous', 'th', 'century', 'th', 'grade', 'th', 'grade', 'advisory', 'th', 'grade', 'books', 'th', 'grade', 'reading', 'birthdays', 'disabilities', 'in', 'class', 'november', 'th', 'century', 'th', 'grade', 'th', 'grade', 'advisory']","Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come."
2,3,41865,41865,3212258,226,316015849,9780316015840.0,Stephenie Meyer,2005.0,Twilight,"Twilight (Twilight, #1)",en-US,3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,41865,[],"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite."
3,4,2657,2657,3275794,487,61120081,9780061120080.0,Harper Lee,1960.0,To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,2657,"['mercenaries', 'mercenary', 'mercer', 'mayer', 'mercy', 'mercy', 'killing', 'mercy', 'thompson', 'mercy', 'thompson', 'series', 'meredith', 'meredith', 'gentry', 'meredith', 'gentry', 'series', 'meredith', 'wild', 'merfolk', 'merica', 'meridiani', 'merlin', 'mermaid', 'mermaid', 'books', 'mermaids', 'mermaids', 'sirens', 'merpeople', 'merrick', 'merry', 'gentry', 'merry', 'gentry', 'series', 'merton', 'merton', 'thomas', 'meru', 'puri', 'merupuri', 'mesoamerica', 'mesopotamia', 'mess', 'messed', 'up', 'met', 'the', 'author', 'meta', 'metaandhumor', 'metaethics', 'metafiction', 'metal', 'metaphysical', 'metaphysical', 'books', 'metaphysical', 'spiritual', 'metaphysical', 'types', 'metaphysics', 'metaphysics', 'occult', 'new', 'age', 'to', 'read', 'meteorites', 'meteorology', 'meth', 'methodology', 'metis', 'bilimkurgu', 'metro', 'metro', 'metropolitan', 'metropolitan', 'opera', 'metropop', 'meus', 'meus', 'livros', 'mexican', 'mexican', 'american', 'mexican', 'literature', 'mexicana', 'mexicanos', 'mexico', 'meyer', 'meyer', 'stephenie', 'mf', 'mfa', 'mfm', 'mft', 'mg', 'mg', 'fantasy', 'mg', 'library', 'mgmt', 'mhc', 'mhi', 'mi', 'biblioteca', 'mi', 'librería', 'mi', 'tesoro', 'mi', 'mia', 'books', 'mia', 'sheridan', 'miami', 'micah', 'micahs', 'books', 'mice', 'michael', 'michael', 'stackpole', 'michael', 'bennet', 'michael', 'bennett', 'michael', 'bennett', 'james', 'patterson', 'michael', 'bennett', 'series', 'michael', 'blake', 'michael', 'buckley', 'michael', 'chabon', 'michael', 'connelly', 'michael', 'connelly', 'fiction', 'michael', 'connelly', 'harry', 'bosch', 'michael', 'connely', 'michael', 'connolly', 'michael', 'crichton', 'michael', 'cunningham', 'michael', 'ende']","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature."
4,5,4671,4671,245494,1356,743273567,9780743273560.0,F. Scott Fitzgerald,1925.0,The Great Gatsby,The Great Gatsby,eng,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,4671,[],"Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story is of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(back cover)"
5,6,11870085,11870085,16827462,226,525478817,9780525478810.0,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,11870085,[],"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love."
6,7,5907,5907,1540236,969,618260307,9780618260300.0,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,The Hobbit,en-US,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,5907,[],"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.Written for J.R.R. Tolkien’s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001)."
7,8,5107,5107,3036731,360,316769177,9780316769170.0,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,5107,[],"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep. J.D. Salinger's classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read."
8,9,960,960,3338963,311,1416524797,9781416524790.0,Dan Brown,2000.0,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,960,"['depths', 'derecho', 'derek', 'derek', 'landy', 'des', 'descartes', 'description', 'desenhos', 'deseret', 'bookshelf', 'desert', 'desert', 'island', 'desert', 'prison', 'desert', 'survival', 'deserted', 'island', 'deserve', 'reading', 'recommended', 'desi', 'desi', 'lit', 'desiderato', 'design', 'design', 'art', 'design', 'books', 'design', 'fashion', 'design', 'ideas', 'design', 'related', 'design', 'thinking', 'design', 'ux', 'desperate', 'to', 'read', 'desperation', 'dessen', 'dessert', 'dessert', 'cookbooks', 'desserts', 'desserts', 'baking', 'destined', 'destiny', 'det', 'john', 'corey', 'detective', 'detective', 'conan', 'detective', 'cops', 'fbi', 'detective', 'crime', 'detective', 'crime', 'fiction', 'detective', 'warren', 'detective', 'warren', 'series', 'detective', 'fiction', 'detective', 'harry', 'bosch', 'detective', 'harry', 'bosch', 'series', 'detective', 'jack', 'kanon', 'detective', 'mystery', 'detective', 'mystery', 'suspense', 'thriller', 'detective', 'novel', 'detective', 'novels', 'detective', 'novels', 'detective', 'sergeant', 'warren', 'detective', 'series', 'detective', 'stories', 'detective', 'story', 'detective', 'thriller', 'detective', 'work', 'detective', 'zach', 'jordan', 'detective', 'zach', 'jordan', 'and', 'detective', 'detectives', 'detectivesca', 'detektif', 'conan', 'detektivky', 'determination', 'determinism', 'detroit', 'deutsch', 'deutsche', 'bücher', 'deutsche', 'literatur', 'deutschland', 'dev', 'devdutt', 'patnaik', 'devdutt', 'pattanaik', 'developer', 'development', 'development', 'economics', 'development', 'studies', 'deveraux', 'deveraux', 'jude', 'devil', 'devo', 'devops', 'devos', 'devotion', 'devotional', 'devotional', 'books', 'devotional', 'books', 'own', 'devotional', 'type', 'devotionals', 'devotionals', 'theology', 'devotions', 'devoured', 'devtional', 'dewasa', 'dewey', 'dewey', 'challenge', 'dewi', 'dewi', 'dee', 'lestari', 'dewi', 'lestari']","World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, and deserted cathedrals, and into the depths of the most secretive vault on earth...the long-forgotten Illuminati lair.(back cover)"
9,10,1885,1885,3060926,3455,679783261,9780679783270.0,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,eng,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,1885,"['iad', 'iain', 'iain', 'banks', 'iain', 'banks', 'iain', 'pears', 'iain', 'books', 'ian', 'ian', 'caldwell', 'ian', 'doescher', 'ian', 'fleming', 'ian', 'banks', 'ian', 'mcewan', 'ian', 'rankin', 'iberia', 'ibook', 'ibooks', 'ibooks', 'for', 'ios', 'ibsen', 'ice', 'ice', 'and', 'fire', 'icefire', 'iceland', 'icelandic', 'icelandic', 'authors', 'icewind', 'dale', 'icon', 'icon', 'comics', 'iconic', 'ict', 'ida', 'idaho', 'idealism', 'ideals', 'ideas', 'ideas', 'trait', 'ideation', 'identical', 'identical', 'twins', 'identity', 'identity', 'theft', 'ideologies', 'idioms', 'idiotic', 'plot', 'idiots', 'ultimate', 'reading', 'idk', 'idle', 'idle', 'book', 'club', 'idolatry', 'idols', 'idw', 'if', 'am', 'really', 'bored', 'if', 'have', 'kids', 'ill', 'read', 'them', 'these', 'if', 'stay', 'if', 'stay', 'collection', 'if', 'is', 'stay', 'collection', 'if', 'only', 'could', 'remember', 'good', 'advic', 'if', 'tomorrow', 'comes', 'if', 'you', 'if', 'you', 'give', 'if', 'you', 'give', 'if', 'you', 'like', 'diary', 'of', 'wimpy', 'kid', 'if', 'you', 'liked', 'diary', 'of', 'wimpy', 'kid', 'iggulden', 'iggulden', 'conn', 'ignore', 'ii', 'iii', 'iin', 'ijak', 'ikaros', 'iker', 'ilana', 'tan', 'ildefonso', 'falcones', 'iles', 'iles', 'greg', 'ilium', 'ill', 'illana', 'tan', 'illegal', 'illegal', 'immigration', 'illinois', 'illness', 'illness', 'books', 'illuminati', 'illusions', 'illustrated', 'illustrated', 'books', 'illustrated', 'novels', 'illustration', 'illustration', 'graphic', 'illustrations', 'ilona', 'andrews', 'ilsa', 'bick', 'ilsa', 'madden', 'mills', 'ilustración', 'image', 'image', 'comics', 'image', 'heavy', 'image', 'vertigo', 'other', 'imagerial', 'imaginal']","Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England."
